chrom,sliding_windows,mean_recombRate
b'Pseudochr1',"(0,2e+06]",7.854932835562127e-10
b'Pseudochr1',"(2e+06,4e+06]",9.488585028830368e-10
b'Pseudochr1',"(4e+06,6e+06]",1.1147478588559092e-9
b'Pseudochr1',"(6e+06,8e+06]",9.81082338030705e-10
b'Pseudochr1',"(8e+06,1e+07]",6.196857720673428e-10
b'Pseudochr1',"(1e+07,1.2e+07]",7.878670664075807e-10
b'Pseudochr1',"(1.2e+07,1.4e+07]",9.251033063255987e-10
b'Pseudochr1',"(1.4e+07,1.6e+07]",9.308481169700359e-10
b'Pseudochr1',"(1.6e+07,1.8e+07]",1.1097594243363432e-9
b'Pseudochr1',"(1.8e+07,2e+07]",1.5698331728222021e-9
b'Pseudochr1',"(2e+07,2.2e+07]",1.4672118085913444e-9
b'Pseudochr1',"(2.2e+07,2.4e+07]",6.585780733372228e-10
b'Pseudochr1',"(2.4e+07,2.6e+07]",6.699965052990856e-10
b'Pseudochr1',"(2.6e+07,2.8e+07]",6.867081562975216e-10
b'Pseudochr1',"(2.8e+07,3e+07]",6.354922247313169e-10
b'Pseudochr1',"(3e+07,3.2e+07]",8.194146979480278e-10
b'Pseudochr1',"(3.2e+07,3.4e+07]",8.522952713624383e-10
b'Pseudochr1',"(3.4e+07,3.6e+07]",5.212931512120436e-10
b'Pseudochr1',"(3.6e+07,3.8e+07]",5.179746446873485e-10
b'Pseudochr1',"(3.8e+07,4e+07]",4.711388828408634e-10
b'Pseudochr1',"(4e+07,4.2e+07]",4.752430646005149e-10
b'Pseudochr1',"(4.2e+07,4.4e+07]",4.0690006202187366e-10
b'Pseudochr1',"(4.4e+07,4.6e+07]",4.2269985880852656e-10
b'Pseudochr1',"(4.6e+07,4.8e+07]",6.139120831785937e-10
b'Pseudochr1',"(4.8e+07,5e+07]",4.1206111465068026e-10
b'Pseudochr1',"(5e+07,5.2e+07]",3.832586128987245e-10
b'Pseudochr1',"(5.2e+07,5.4e+07]",4.704230752492161e-10
b'Pseudochr1',"(5.4e+07,5.6e+07]",3.645015695485685e-10
b'Pseudochr1',"(5.6e+07,5.8e+07]",3.543785183801308e-10
b'Pseudochr1',"(5.8e+07,6e+07]",3.0847554413637377e-10
b'Pseudochr1',"(6e+07,6.2e+07]",3.999187796250441e-10
b'Pseudochr1',"(6.2e+07,6.4e+07]",4.717486481535255e-10
b'Pseudochr1',"(6.4e+07,6.6e+07]",5.171067459357092e-10
b'Pseudochr1',"(6.6e+07,6.8e+07]",5.225045655958798e-10
b'Pseudochr1',"(6.8e+07,7e+07]",5.106510160551744e-10
b'Pseudochr1',"(7e+07,7.2e+07]",4.243477548113231e-10
b'Pseudochr1',"(7.2e+07,7.4e+07]",6.688596625737548e-10
b'Pseudochr1',"(7.4e+07,7.6e+07]",5.734057860838487e-10
b'Pseudochr1',"(7.6e+07,7.8e+07]",4.836599629485067e-10
b'Pseudochr1',"(7.8e+07,8e+07]",4.2998569763551865e-10
b'Pseudochr1',"(8e+07,8.2e+07]",4.910275363454207e-10
b'Pseudochr1',"(8.2e+07,8.4e+07]",5.334237246951374e-10
b'Pseudochr1',"(8.4e+07,8.6e+07]",4.3868969636996464e-10
b'Pseudochr1',"(8.6e+07,8.8e+07]",4.836318896069202e-10
b'Pseudochr1',"(8.8e+07,9e+07]",4.990163111890622e-10
b'Pseudochr1',"(9e+07,9.2e+07]",6.01450719631321e-10
b'Pseudochr1',"(9.2e+07,9.4e+07]",4.409599497407865e-10
b'Pseudochr1',"(9.4e+07,9.6e+07]",4.800984776523975e-10
b'Pseudochr1',"(9.6e+07,9.8e+07]",4.150203096747122e-10
b'Pseudochr1',"(9.8e+07,1e+08]",4.1350188902451403e-10
b'Pseudochr1',"(1e+08,1.02e+08]",4.030815841298553e-10
b'Pseudochr1',"(1.02e+08,1.04e+08]",4.920352890143499e-10
b'Pseudochr1',"(1.04e+08,1.06e+08]",4.4160263125423425e-10
b'Pseudochr1',"(1.06e+08,1.08e+08]",4.695818289531381e-10
b'Pseudochr1',"(1.08e+08,1.1e+08]",3.8077201590969943e-10
b'Pseudochr1',"(1.1e+08,1.12e+08]",4.3199590891205275e-10
b'Pseudochr1',"(1.12e+08,1.14e+08]",7.542444004491932e-10
b'Pseudochr1',"(1.14e+08,1.16e+08]",1.0143888804306995e-9
b'Pseudochr1',"(1.16e+08,1.18e+08]",1.7613066036791378e-9
b'Pseudochr1',"(1.18e+08,1.2e+08]",1.7828122899144909e-9
b'Pseudochr1',"(1.2e+08,1.22e+08]",1.3793083586674402e-9
b'Pseudochr10',"(0,2e+06]",1.2716178326645965e-9
b'Pseudochr10',"(2e+06,4e+06]",2.103613343084387e-9
b'Pseudochr10',"(4e+06,6e+06]",1.4287932950039538e-9
b'Pseudochr10',"(6e+06,8e+06]",5.004555516954431e-10
b'Pseudochr10',"(8e+06,1e+07]",4.843845490600479e-10
b'Pseudochr10',"(1e+07,1.2e+07]",3.9663966284589336e-10
b'Pseudochr10',"(1.2e+07,1.4e+07]",4.90304905794463e-10
b'Pseudochr10',"(1.4e+07,1.6e+07]",7.164264535488199e-10
b'Pseudochr10',"(1.6e+07,1.8e+07]",1.3432414447355757e-9
b'Pseudochr10',"(1.8e+07,2e+07]",1.972914508642625e-9
b'Pseudochr10',"(2e+07,2.2e+07]",1.4130551342779886e-9
b'Pseudochr11',"(0,2e+06]",3.184136893773631e-10
b'Pseudochr11',"(2e+06,4e+06]",3.614558250744797e-10
b'Pseudochr11',"(4e+06,6e+06]",6.481995479884612e-10
b'Pseudochr11',"(6e+06,8e+06]",6.029277309879958e-10
b'Pseudochr11',"(8e+06,1e+07]",1.6771838600135095e-9
b'Pseudochr11',"(1e+07,1.2e+07]",1.7200053438110784e-9
b'Pseudochr11',"(1.2e+07,1.4e+07]",7.015230350551282e-10
b'Pseudochr11',"(1.4e+07,1.6e+07]",4.5347818056338814e-10
b'Pseudochr11',"(1.6e+07,1.8e+07]",1.2801685805559026e-9
b'Pseudochr11',"(1.8e+07,2e+07]",1.4643777598194161e-9
b'Pseudochr11',"(2e+07,2.2e+07]",1.0270861744923243e-9
b'Pseudochr12',"(0,2e+06]",1.879487475050651e-9
b'Pseudochr12',"(2e+06,4e+06]",1.9691290045740733e-9
b'Pseudochr12',"(4e+06,6e+06]",1.8116490463299623e-9
b'Pseudochr12',"(6e+06,8e+06]",1.297987710628114e-9
b'Pseudochr12',"(8e+06,1e+07]",8.656989637202326e-10
b'Pseudochr12',"(1e+07,1.2e+07]",9.017011766261288e-10
b'Pseudochr12',"(1.2e+07,1.4e+07]",7.816810595030871e-10
b'Pseudochr12',"(1.4e+07,1.6e+07]",1.1080621609928094e-9
b'Pseudochr12',"(1.6e+07,1.8e+07]",1.496555779860868e-9
b'Pseudochr12',"(1.8e+07,2e+07]",1.2719658806889558e-9
b'Pseudochr12',"(2e+07,2.2e+07]",1.86921040881424e-9
b'Pseudochr13',"(0,2e+06]",1.1401850575541904e-9
b'Pseudochr13',"(2e+06,4e+06]",1.4987513698118533e-9
b'Pseudochr13',"(4e+06,6e+06]",8.938850018358434e-10
b'Pseudochr13',"(6e+06,8e+06]",1.4886088921923408e-9
b'Pseudochr13',"(8e+06,1e+07]",1.8140605348297115e-9
b'Pseudochr13',"(1e+07,1.2e+07]",1.6227174163797262e-9
b'Pseudochr13',"(1.2e+07,1.4e+07]",1.104166243461338e-9
b'Pseudochr13',"(1.4e+07,1.6e+07]",8.246589896989675e-10
b'Pseudochr13',"(1.6e+07,1.8e+07]",9.714990239370257e-10
b'Pseudochr13',"(1.8e+07,2e+07]",1.0039332390060346e-9
b'Pseudochr14',"(0,2e+06]",5.147151569705823e-10
b'Pseudochr14',"(2e+06,4e+06]",6.507308701749517e-10
b'Pseudochr14',"(4e+06,6e+06]",1.138262662511915e-9
b'Pseudochr14',"(6e+06,8e+06]",1.66506352672874e-9
b'Pseudochr14',"(8e+06,1e+07]",1.8822588649136062e-9
b'Pseudochr14',"(1e+07,1.2e+07]",6.335779474272525e-10
b'Pseudochr14',"(1.2e+07,1.4e+07]",1.1526015164128935e-9
b'Pseudochr14',"(1.4e+07,1.6e+07]",1.5031521219122522e-9
b'Pseudochr14',"(1.6e+07,1.8e+07]",1.9670686039850008e-09
b'Pseudochr15',"(0,2e+06]",1.2007954226125827e-9
b'Pseudochr15',"(2e+06,4e+06]",8.529983011645195e-10
b'Pseudochr15',"(4e+06,6e+06]",1.6416434927160686e-9
b'Pseudochr15',"(6e+06,8e+06]",4.961603538379266e-10
b'Pseudochr15',"(8e+06,1e+07]",7.862319977753838e-10
b'Pseudochr15',"(1e+07,1.2e+07]",1.668032456765962e-9
b'Pseudochr15',"(1.2e+07,1.4e+07]",1.653684918909007e-9
b'Pseudochr15',"(1.4e+07,1.6e+07]",1.1559886054116786e-9
b'Pseudochr16',"(0,2e+06]",2.01544612481828e-9
b'Pseudochr17',"(0,2e+06]",1.3896240559935754e-9
b'Pseudochr17',"(2e+06,4e+06]",1.822353286752255e-9
b'Pseudochr17',"(4e+06,6e+06]",1.495775111922855e-9
b'Pseudochr17',"(6e+06,8e+06]",1.7176089633192996e-9
b'Pseudochr17',"(8e+06,1e+07]",2.010266806415176e-9
b'Pseudochr17',"(1e+07,1.2e+07]",1.463491635902151e-9
b'Pseudochr18',"(0,2e+06]",1.627998485906181e-9
b'Pseudochr18',"(2e+06,4e+06]",1.2413769578435515e-9
b'Pseudochr18',"(4e+06,6e+06]",1.3121935310748668e-9
b'Pseudochr18',"(6e+06,8e+06]",1.000314520580492e-9
b'Pseudochr18',"(8e+06,1e+07]",1.5230748379630328e-9
b'Pseudochr18',"(1e+07,1.2e+07]",1.2663429546506366e-9
b'Pseudochr18',"(1.2e+07,1.4e+07]",1.2109110852416057e-9
b'Pseudochr19',"(0,2e+06]",1.5069300563634437e-9
b'Pseudochr19',"(2e+06,4e+06]",2.0912845345406615e-9
b'Pseudochr19',"(4e+06,6e+06]",1.789704321663607e-9
b'Pseudochr19',"(6e+06,8e+06]",1.6059498153704687e-9
b'Pseudochr19',"(8e+06,1e+07]",1.0203172102671244e-9
b'Pseudochr1A',"(0,2e+06]",1.861323349222839e-9
b'Pseudochr1A',"(2e+06,4e+06]",1.497442435102153e-9
b'Pseudochr1A',"(4e+06,6e+06]",8.056131813959903e-10
b'Pseudochr1A',"(6e+06,8e+06]",4.897652347320613e-10
b'Pseudochr1A',"(8e+06,1e+07]",3.164475550552209e-10
b'Pseudochr1A',"(1e+07,1.2e+07]",3.537374758795831e-10
b'Pseudochr1A',"(1.2e+07,1.4e+07]",3.590710594923543e-10
b'Pseudochr1A',"(1.4e+07,1.6e+07]",4.025653882900025e-10
b'Pseudochr1A',"(1.6e+07,1.8e+07]",2.9877453873013626e-10
b'Pseudochr1A',"(1.8e+07,2e+07]",3.2939053259613693e-10
b'Pseudochr1A',"(2e+07,2.2e+07]",3.1336735406757795e-10
b'Pseudochr1A',"(2.2e+07,2.4e+07]",3.9944010689555724e-10
b'Pseudochr1A',"(2.4e+07,2.6e+07]",3.3155378101639703e-10
b'Pseudochr1A',"(2.6e+07,2.8e+07]",2.909439390665546e-10
b'Pseudochr1A',"(2.8e+07,3e+07]",3.1451534962643183e-10
b'Pseudochr1A',"(3e+07,3.2e+07]",3.3802545864687124e-10
b'Pseudochr1A',"(3.2e+07,3.4e+07]",3.4852130361243464e-10
b'Pseudochr1A',"(3.4e+07,3.6e+07]",3.355805808790911e-10
b'Pseudochr1A',"(3.6e+07,3.8e+07]",3.100870279775179e-10
b'Pseudochr1A',"(3.8e+07,4e+07]",2.675777296670074e-10
b'Pseudochr1A',"(4e+07,4.2e+07]",3.174765559799907e-10
b'Pseudochr1A',"(4.2e+07,4.4e+07]",2.9700415271571226e-10
b'Pseudochr1A',"(4.4e+07,4.6e+07]",3.112249501390441e-10
b'Pseudochr1A',"(4.6e+07,4.8e+07]",3.3632933229045493e-10
b'Pseudochr1A',"(4.8e+07,5e+07]",3.500008978466138e-10
b'Pseudochr1A',"(5e+07,5.2e+07]",3.64305905198927e-10
b'Pseudochr1A',"(5.2e+07,5.4e+07]",4.791256128281652e-10
b'Pseudochr1A',"(5.4e+07,5.6e+07]",6.06137472570623e-10
b'Pseudochr1A',"(5.6e+07,5.8e+07]",6.179623682518823e-10
b'Pseudochr1A',"(5.8e+07,6e+07]",6.481618528673427e-10
b'Pseudochr1A',"(6e+07,6.2e+07]",4.4796077892709823e-10
b'Pseudochr1A',"(6.2e+07,6.4e+07]",7.083094107793759e-10
b'Pseudochr1A',"(6.4e+07,6.6e+07]",1.0833867807193343e-9
b'Pseudochr1A',"(6.6e+07,6.8e+07]",1.789550513848196e-9
b'Pseudochr1A',"(6.8e+07,7e+07]",1.164185035502571e-9
b'Pseudochr1A',"(7e+07,7.2e+07]",1.6185552792903774e-9
b'Pseudochr1A',"(7.2e+07,7.4e+07]",1.0406339663531847e-9
b'Pseudochr1A',"(7.4e+07,7.6e+07]",1.2484624523220895e-9
b'Pseudochr2',"(0,2e+06]",1.671712031993928e-9
b'Pseudochr2',"(2e+06,4e+06]",1.9143677357029706e-9
b'Pseudochr2',"(4e+06,6e+06]",1.2093108369120426e-9
b'Pseudochr2',"(6e+06,8e+06]",9.571505053256317e-10
b'Pseudochr2',"(8e+06,1e+07]",7.098716606455645e-10
b'Pseudochr2',"(1e+07,1.2e+07]",3.9957129393923695e-10
b'Pseudochr2',"(1.2e+07,1.4e+07]",3.1236239219760397e-10
b'Pseudochr2',"(1.4e+07,1.6e+07]",3.471817313783734e-10
b'Pseudochr2',"(1.6e+07,1.8e+07]",3.3081810696375644e-10
b'Pseudochr2',"(1.8e+07,2e+07]",2.949280493653401e-10
b'Pseudochr2',"(2e+07,2.2e+07]",2.733724291954976e-10
b'Pseudochr2',"(2.2e+07,2.4e+07]",3.1757358342243243e-10
b'Pseudochr2',"(2.4e+07,2.6e+07]",2.555793111611787e-10
b'Pseudochr2',"(2.6e+07,2.8e+07]",2.853650548203903e-10
b'Pseudochr2',"(2.8e+07,3e+07]",3.007495301057938e-10
b'Pseudochr2',"(3e+07,3.2e+07]",2.4694062001715526e-10
b'Pseudochr2',"(3.2e+07,3.4e+07]",2.5627080293314795e-10
b'Pseudochr2',"(3.4e+07,3.6e+07]",2.900728215448737e-10
b'Pseudochr2',"(3.6e+07,3.8e+07]",2.782865927482128e-10
b'Pseudochr2',"(3.8e+07,4e+07]",2.936567111624361e-10
b'Pseudochr2',"(4e+07,4.2e+07]",3.181256405795477e-10
b'Pseudochr2',"(4.2e+07,4.4e+07]",6.908154097870343e-10
b'Pseudochr2',"(4.4e+07,4.6e+07]",1.0046416407123227e-9
b'Pseudochr2',"(4.6e+07,4.8e+07]",1.9044346595863757e-9
b'Pseudochr2',"(4.8e+07,5e+07]",1.4620091639444122e-9
b'Pseudochr2',"(5e+07,5.2e+07]",9.305913218532344e-10
b'Pseudochr2',"(5.2e+07,5.4e+07]",1.7068777693251416e-9
b'Pseudochr2',"(5.4e+07,5.6e+07]",1.13735429127531e-9
b'Pseudochr2',"(5.6e+07,5.8e+07]",4.747440151833608e-10
b'Pseudochr2',"(5.8e+07,6e+07]",6.803273714369301e-10
b'Pseudochr2',"(6e+07,6.2e+07]",1.749130585452861e-9
b'Pseudochr2',"(6.2e+07,6.4e+07]",1.804834270288304e-9
b'Pseudochr2',"(6.4e+07,6.6e+07]",1.8614830601215003e-9
b'Pseudochr2',"(6.6e+07,6.8e+07]",1.9078355753586247e-9
b'Pseudochr2',"(6.8e+07,7e+07]",7.6082337491968e-10
b'Pseudochr2',"(7e+07,7.2e+07]",1.0256426480468367e-9
b'Pseudochr2',"(7.2e+07,7.4e+07]",4.925932355828616e-10
b'Pseudochr2',"(7.4e+07,7.6e+07]",5.133677152283885e-10
b'Pseudochr2',"(7.6e+07,7.8e+07]",4.382609401872656e-10
b'Pseudochr2',"(7.8e+07,8e+07]",4.254452936560286e-10
b'Pseudochr2',"(8e+07,8.2e+07]",4.03434924998231e-10
b'Pseudochr2',"(8.2e+07,8.4e+07]",3.797071078428547e-10
b'Pseudochr2',"(8.4e+07,8.6e+07]",3.4789364234598364e-10
b'Pseudochr2',"(8.6e+07,8.8e+07]",3.6105610863513605e-10
b'Pseudochr2',"(8.8e+07,9e+07]",3.459793481292965e-10
b'Pseudochr2',"(9e+07,9.2e+07]",3.6140937480700284e-10
b'Pseudochr2',"(9.2e+07,9.4e+07]",5.311038937936697e-10
b'Pseudochr2',"(9.4e+07,9.6e+07]",2.9292991463967477e-10
b'Pseudochr2',"(9.6e+07,9.8e+07]",3.155016469278824e-10
b'Pseudochr2',"(9.8e+07,1e+08]",3.659250547186831e-10
b'Pseudochr2',"(1e+08,1.02e+08]",2.980434159789403e-10
b'Pseudochr2',"(1.02e+08,1.04e+08]",3.5013160983676536e-10
b'Pseudochr2',"(1.04e+08,1.06e+08]",3.36470583811816e-10
b'Pseudochr2',"(1.06e+08,1.08e+08]",3.5982663454694546e-10
b'Pseudochr2',"(1.08e+08,1.1e+08]",3.0151447217193603e-10
b'Pseudochr2',"(1.1e+08,1.12e+08]",3.6343463178244746e-10
b'Pseudochr2',"(1.12e+08,1.14e+08]",3.6394137288774913e-10
b'Pseudochr2',"(1.14e+08,1.16e+08]",3.8626931093017223e-10
b'Pseudochr2',"(1.16e+08,1.18e+08]",3.304211925830537e-10
b'Pseudochr2',"(1.18e+08,1.2e+08]",3.7382383417069574e-10
b'Pseudochr2',"(1.2e+08,1.22e+08]",3.341304496235711e-10
b'Pseudochr2',"(1.22e+08,1.24e+08]",3.751415333731677e-10
b'Pseudochr2',"(1.24e+08,1.26e+08]",3.4019101732384757e-10
b'Pseudochr2',"(1.26e+08,1.28e+08]",3.056238203022197e-10
b'Pseudochr2',"(1.28e+08,1.3e+08]",4.652377244840821e-10
b'Pseudochr2',"(1.3e+08,1.32e+08]",3.459345471965572e-10
b'Pseudochr2',"(1.32e+08,1.34e+08]",3.249513965904223e-10
b'Pseudochr2',"(1.34e+08,1.36e+08]",3.349647237205093e-10
b'Pseudochr2',"(1.36e+08,1.38e+08]",3.41765906343211e-10
b'Pseudochr2',"(1.38e+08,1.4e+08]",3.002757567626886e-10
b'Pseudochr2',"(1.4e+08,1.42e+08]",2.931605884122655e-10
b'Pseudochr2',"(1.42e+08,1.44e+08]",2.698863850458654e-10
